Size, Blocks, Threads, Time
8388608, 16384, 512, 6.16257
8388608, 16384, 1024, 6.62381
8388608, 32768, 2, 7.61702
8388608, 32768, 4, 6.7543
8388608, 32768, 8, 6.28453
8388608, 32768, 16, 6.04653
8388608, 32768, 32, 5.97739
8388608, 32768, 64, 5.94315
8388608, 32768, 128, 5.97168
8388608, 32768, 256, 6.16013
8388608, 32768, 512, 6.60718
8388608, 32768, 1024, 7.58495
8388608, 65535, 2, 7.69627
8388608, 65535, 4, 6.89205
8388608, 65535, 8, 6.41141
8388608, 65535, 16, 6.19351
8388608, 65535, 32, 6.12039
8388608, 65535, 64, 6.06817
8388608, 65535, 128, 6.29876
8388608, 65535, 256, 6.67962
8388608, 65535, 512, 7.44076
8388608, 65535, 1024, 9.40507

Size, Blocks, Threads, Time
268435456, 2, 2, 10790.3
268435456, 2, 4, 5517.25
268435456, 2, 8, 2848.99
268435456, 2, 16, 1529.41
268435456, 2, 32, 881.18
268435456, 2, 64, 533.739
268435456, 2, 128, 355.785
268435456, 2, 256, 266.374
268435456, 2, 512, 223.387
268435456, 2, 1024, 200.788
268435456, 4, 2, 5463.67
268435456, 4, 4, 2844.67
268435456, 4, 8, 1512.37
268435456, 4, 16, 853.394
268435456, 4, 32, 529.045
268435456, 4, 64, 355.992
268435456, 4, 128, 265.823
268435456, 4, 256, 222.564
268435456, 4, 512, 199.852
268435456, 4, 1024, 189.364
268435456, 8, 2, 2816.55
268435456, 8, 4, 1509.72
268435456, 8, 8, 844.16
268435456, 8, 16, 515.102
268435456, 8, 32, 353.026
268435456, 8, 64, 265.88
268435456, 8, 128, 221.216
268435456, 8, 256, 199.815
268435456, 8, 512, 188.695
268435456, 8, 1024, 184.438
268435456, 16, 2, 1496.08
268435456, 16, 4, 842.642
268435456, 16, 8, 510.58
268435456, 16, 16, 345.92
268435456, 16, 32, 264.9
268435456, 16, 64, 221.37
268435456, 16, 128, 199.599
268435456, 16, 256, 188.798
268435456, 16, 512, 184.234
268435456, 16, 1024, 183.221
268435456, 32, 2, 835.871
268435456, 32, 4, 513.993
268435456, 32, 8, 346.431
268435456, 32, 16, 262.407
268435456, 32, 32, 221.067
268435456, 32, 64, 199.787
268435456, 32, 128, 188.186
268435456, 32, 256, 184.267
268435456, 32, 512, 182.98
268435456, 32, 1024, 183.597
268435456, 64, 2, 513.155
268435456, 64, 4, 350.083
268435456, 64, 8, 264.799
268435456, 64, 16, 220.746
268435456, 64, 32, 199.512
268435456, 64, 64, 188.367
268435456, 64, 128, 183.7
268435456, 64, 256, 183.154
268435456, 64, 512, 183.423
268435456, 64, 1024, 183.001
268435456, 128, 2, 349.605
268435456, 128, 4, 267.921
268435456, 128, 8, 223.316
268435456, 128, 16, 199.746
268435456, 128, 32, 188.202
268435456, 128, 64, 183.925
268435456, 128, 128, 182.838
268435456, 128, 256, 183.556
268435456, 128, 512, 182.742
268435456, 128, 1024, 182.847
268435456, 256, 2, 265.918
268435456, 256, 4, 224.715
268435456, 256, 8, 202.083
268435456, 256, 16, 188.958
268435456, 256, 32, 183.733
268435456, 256, 64, 183.006
268435456, 256, 128, 183.344
268435456, 256, 256, 182.886
268435456, 256, 512, 182.575
268435456, 256, 1024, 182.776
268435456, 512, 2, 267.138
268435456, 512, 4, 227.269
268435456, 512, 8, 202.534
268435456, 512, 16, 189.396
268435456, 512, 32, 184.71
268435456, 512, 64, 183.513
268435456, 512, 128, 182.797
268435456, 512, 256, 182.889
268435456, 512, 512, 182.637
268435456, 512, 1024, 182.844
268435456, 1024, 2, 246.299
268435456, 1024, 4, 216.138
268435456, 1024, 8, 196.811
268435456, 1024, 16, 186.609
268435456, 1024, 32, 183.341
268435456, 1024, 64, 182.863
268435456, 1024, 128, 182.592
268435456, 1024, 256, 182.75
268435456, 1024, 512, 182.536
268435456, 1024, 1024, 182.688
268435456, 2048, 2, 235.38
268435456, 2048, 4, 211.001
268435456, 2048, 8, 193.963
268435456, 2048, 16, 188.089
268435456, 2048, 32, 181.494
268435456, 2048, 64, 181.068
268435456, 2048, 128, 191.094
268435456, 2048, 256, 182.83
268435456, 2048, 512, 182.622
268435456, 2048, 1024, 182.798
268435456, 4096, 2, 235.759
268435456, 4096, 4, 211.418
268435456, 4096, 8, 193.863
268435456, 4096, 16, 185.41
268435456, 4096, 32, 182.938
268435456, 4096, 64, 182.883
268435456, 4096, 128, 182.641
268435456, 4096, 256, 182.861
268435456, 4096, 512, 182.603
268435456, 4096, 1024, 182.785
268435456, 8192, 2, 235.916
268435456, 8192, 4, 211.496
268435456, 8192, 8, 193.982
268435456, 8192, 16, 185.551
268435456, 8192, 32, 183.049
268435456, 8192, 64, 182.878
268435456, 8192, 128, 182.634
268435456, 8192, 256, 182.796
268435456, 8192, 512, 182.609
268435456, 8192, 1024, 182.792
268435456, 16384, 2, 235.656
268435456, 16384, 4, 212.03
268435456, 16384, 8, 194.11
268435456, 16384, 16, 185.835
268435456, 16384, 32, 183.097
268435456, 16384, 64, 182.866
268435456, 16384, 128, 182.634
268435456, 16384, 256, 182.792
268435456, 16384, 512, 182.661
268435456, 16384, 1024, 182.778
268435456, 32768, 2, 235.206
268435456, 32768, 4, 212.682
268435456, 32768, 8, 194.587
268435456, 32768, 16, 185.904
268435456, 32768, 32, 183.108
268435456, 32768, 64, 182.859
268435456, 32768, 128, 182.678
268435456, 32768, 256, 182.906
268435456, 32768, 512, 182.673
268435456, 32768, 1024, 182.917
268435456, 65535, 2, 240.139
268435456, 65535, 4, 213.259
268435456, 65535, 8, 194.131
268435456, 65535, 16, 185.994
268435456, 65535, 32, 183.241
268435456, 65535, 64, 182.94
268435456, 65535, 128, 182.896
268435456, 65535, 256, 182.978
268435456, 65535, 512, 182.82
268435456, 65535, 1024, 183.417

Size, Blocks, Threads, Time
2, 2, 2, 0.0164352

Size, Blocks, Threads, Time
2, 2, 2, 0.017952

Size, Blocks, Threads, Time
300000000, 2, 2, 12064.7

Size, Blocks, Threads, Time
300000000, 65535, 1024, 204.128

Size, Blocks, Threads, Time
2, 8, 8, 0.019616
2, 8, 16, 0.0147392
2, 8, 32, 0.0160128
2, 8, 64, 0.0155776
2, 8, 128, 0.0155136
2, 8, 256, 0.0154048
2, 8, 512, 0.0166784
2, 8, 1024, 0.0174592
2, 16, 8, 0.0155072
2, 16, 16, 0.0165568
2, 16, 32, 0.0170304
2, 16, 64, 0.01696
2, 16, 128, 0.0153472
2, 16, 256, 0.0206592
2, 16, 512, 0.0203584
2, 16, 1024, 0.0209152
2, 32, 8, 0.0163136
2, 32, 16, 0.0188672
2, 32, 32, 0.0207888
2, 32, 64, 0.019528
2, 32, 128, 0.0190592
2, 32, 256, 0.0199424
2, 32, 512, 0.0202816
2, 32, 1024, 0.021064
2, 64, 8, 0.0205824
2, 64, 16, 0.019368
2, 64, 32, 0.0173504
2, 64, 64, 0.0155392
2, 64, 128, 0.015424
2, 64, 256, 0.0156288
2, 64, 512, 0.017376
2, 64, 1024, 0.019072
2, 128, 8, 0.0162192
2, 128, 16, 0.0162576
2, 128, 32, 0.01456
2, 128, 64, 0.0158784
2, 128, 128, 0.0148944
2, 128, 256, 0.0147712
2, 128, 512, 0.018216
2, 128, 1024, 0.0248832
2, 256, 8, 0.0153552
2, 256, 16, 0.0139584
2, 256, 32, 0.013864
2, 256, 64, 0.0153552
2, 256, 128, 0.0136576
2, 256, 256, 0.019848
2, 256, 512, 0.0222016
2, 256, 1024, 0.0299456
2, 512, 8, 0.0193488
2, 512, 16, 0.0221968
2, 512, 32, 0.0195024
2, 512, 64, 0.01924
2, 512, 128, 0.02052
2, 512, 256, 0.0243024
2, 512, 512, 0.0324
2, 512, 1024, 0.0527952
2, 1024, 8, 0.020624
2, 1024, 16, 0.0183648
2, 1024, 32, 0.0167968
2, 1024, 64, 0.0196128
2, 1024, 128, 0.0228064
2, 1024, 256, 0.0324576
2, 1024, 512, 0.0461728
2, 1024, 1024, 0.0839648
2, 2048, 8, 0.0295952
2, 2048, 16, 0.0297472
2, 2048, 32, 0.0285712
2, 2048, 64, 0.0313792
2, 2048, 128, 0.0379904
2, 2048, 256, 0.0510016
2, 2048, 512, 0.0836096
2, 2048, 1024, 0.164518
2, 4096, 8, 0.038336
2, 4096, 16, 0.0412608
2, 4096, 32, 0.041312
2, 4096, 64, 0.0476416
2, 4096, 128, 0.0641856
2, 4096, 256, 0.0943616
2, 4096, 512, 0.15339
2, 4096, 1024, 0.304083
2, 8192, 8, 0.0614896
2, 8192, 16, 0.0671616
2, 8192, 32, 0.0611392
2, 8192, 64, 0.085312
2, 8192, 128, 0.1142
2, 8192, 256, 0.169517
2, 8192, 512, 0.292397
2, 8192, 1024, 0.583378
2, 16384, 8, 0.119597
2, 16384, 16, 0.12176
2, 16384, 32, 0.122758
2, 16384, 64, 0.136195
2, 16384, 128, 0.208242
2, 16384, 256, 0.325659
2, 16384, 512, 0.566618
2, 16384, 1024, 1.1482
2, 32768, 8, 0.222288
2, 32768, 16, 0.224606
2, 32768, 32, 0.204517
2, 32768, 64, 0.280371
2, 32768, 128, 0.369029
2, 32768, 256, 0.587358
2, 32768, 512, 1.09248
2, 32768, 1024, 2.27923
2, 65535, 8, 0.441014
2, 65535, 16, 0.430064
2, 65535, 32, 0.433488
2, 65535, 64, 0.4604
2, 65535, 128, 0.760339
2, 65535, 256, 1.19784
2, 65535, 512, 2.20838
2, 65535, 1024, 3.9923
4, 8, 8, 0.0151808
4, 8, 16, 0.017408
4, 8, 32, 0.0180992
4, 8, 64, 0.01824
4, 8, 128, 0.018272
4, 8, 256, 0.0181824
4, 8, 512, 0.0171328
4, 8, 1024, 0.0162304
4, 16, 8, 0.0141888
4, 16, 16, 0.0142528
4, 16, 32, 0.0143808
4, 16, 64, 0.0168256
4, 16, 128, 0.0164416
4, 16, 256, 0.0166016
4, 16, 512, 0.0142976
4, 16, 1024, 0.01472
4, 32, 8, 0.0142544
4, 32, 16, 0.0140288
4, 32, 32, 0.0167872
4, 32, 64, 0.014176
4, 32, 128, 0.0169024
4, 32, 256, 0.0142656
4, 32, 512, 0.014432
4, 32, 1024, 0.0156096
4, 64, 8, 0.0144656
4, 64, 16, 0.0142976
4, 64, 32, 0.0167424
4, 64, 64, 0.0142336
4, 64, 128, 0.0142992
4, 64, 256, 0.0146944
4, 64, 512, 0.0156928
4, 64, 1024, 0.0172096
4, 128, 8, 0.0146432
4, 128, 16, 0.0146048
4, 128, 32, 0.0170112
4, 128, 64, 0.0227968
4, 128, 128, 0.0158912
4, 128, 256, 0.0185872
4, 128, 512, 0.0169168
4, 128, 1024, 0.020776
4, 256, 8, 0.0165824
4, 256, 16, 0.0202768
4, 256, 32, 0.0199056
4, 256, 64, 0.0127824
4, 256, 128, 0.021288
4, 256, 256, 0.018024
4, 256, 512, 0.0210192
4, 256, 1024, 0.0286032
4, 512, 8, 0.0175696
4, 512, 16, 0.0214032
4, 512, 32, 0.0217616
4, 512, 64, 0.0196048
4, 512, 128, 0.020296
4, 512, 256, 0.0205968
4, 512, 512, 0.0321824
4, 512, 1024, 0.0524496
4, 1024, 8, 0.020976
4, 1024, 16, 0.0183008
4, 1024, 32, 0.0165216
4, 1024, 64, 0.0175392
4, 1024, 128, 0.021904
4, 1024, 256, 0.0282464
4, 1024, 512, 0.035952
4, 1024, 1024, 0.0685856
4, 2048, 8, 0.0264192
4, 2048, 16, 0.0264384
4, 2048, 32, 0.0263104
4, 2048, 64, 0.02868
4, 2048, 128, 0.0338112
4, 2048, 256, 0.0463824
4, 2048, 512, 0.0736
4, 2048, 1024, 0.128109
4, 4096, 8, 0.0382912
4, 4096, 16, 0.0357312
4, 4096, 32, 0.0371648
4, 4096, 64, 0.047552
4, 4096, 128, 0.0542976
4, 4096, 256, 0.0801344
4, 4096, 512, 0.13312
4, 4096, 1024, 0.244091
4, 8192, 8, 0.0500928
4, 8192, 16, 0.0555888
4, 8192, 32, 0.06736
4, 8192, 64, 0.0697664
4, 8192, 128, 0.0919024
4, 8192, 256, 0.140941
4, 8192, 512, 0.240416
4, 8192, 1024, 0.487085
4, 16384, 8, 0.0988928
4, 16384, 16, 0.115411
4, 16384, 32, 0.0801392
4, 16384, 64, 0.126283
4, 16384, 128, 0.171373
4, 16384, 256, 0.266021
4, 16384, 512, 0.465426
4, 16384, 1024, 0.952608
4, 32768, 8, 0.182699
4, 32768, 16, 0.189323
4, 32768, 32, 0.209253
4, 32768, 64, 0.278518
4, 32768, 128, 0.318762
4, 32768, 256, 0.503998
4, 32768, 512, 0.934104
4, 32768, 1024, 1.88816
4, 65535, 8, 0.391675
4, 65535, 16, 0.392968
4, 65535, 32, 0.353499
4, 65535, 64, 0.447107
4, 65535, 128, 0.584579
4, 65535, 256, 1.02498
4, 65535, 512, 1.77019
4, 65535, 1024, 3.75884
8, 8, 8, 0.0148864
8, 8, 16, 0.0171264
8, 8, 32, 0.0174208
8, 8, 64, 0.0160768
8, 8, 128, 0.0176768
8, 8, 256, 0.017696
8, 8, 512, 0.0147648
8, 8, 1024, 0.0201792
8, 16, 8, 0.030912
8, 16, 16, 0.0182736
8, 16, 32, 0.0148864
8, 16, 64, 0.0147968
8, 16, 128, 0.0149632
8, 16, 256, 0.0152384
8, 16, 512, 0.0142272
8, 16, 1024, 0.0146624
8, 32, 8, 0.0143248
8, 32, 16, 0.0145664
8, 32, 32, 0.0147008
8, 32, 64, 0.014472
8, 32, 128, 0.0181136
8, 32, 256, 0.02032
8, 32, 512, 0.0188032
8, 32, 1024, 0.029184
8, 64, 8, 0.028128
8, 64, 16, 0.018432
8, 64, 32, 0.0178112
8, 64, 64, 0.0172544
8, 64, 128, 0.019616
8, 64, 256, 0.0153024
8, 64, 512, 0.0167168
8, 64, 1024, 0.0179472
8, 128, 8, 0.0156224
8, 128, 16, 0.0146688
8, 128, 32, 0.0152784
8, 128, 64, 0.0152336
8, 128, 128, 0.0152192
8, 128, 256, 0.0177664
8, 128, 512, 0.0174352
8, 128, 1024, 0.0212432
8, 256, 8, 0.013096
8, 256, 16, 0.0138304
8, 256, 32, 0.0153984
8, 256, 64, 0.0167248
8, 256, 128, 0.0163152
8, 256, 256, 0.0172096
8, 256, 512, 0.0223376
8, 256, 1024, 0.0297856
8, 512, 8, 0.0154128
8, 512, 16, 0.0175184
8, 512, 32, 0.0159184
8, 512, 64, 0.0162512
8, 512, 128, 0.0212944
8, 512, 256, 0.0208144
8, 512, 512, 0.0284048
8, 512, 1024, 0.0437136
8, 1024, 8, 0.0189728
8, 1024, 16, 0.0172832
8, 1024, 32, 0.0208544
8, 1024, 64, 0.0213472
8, 1024, 128, 0.0203552
8, 1024, 256, 0.0267488
8, 1024, 512, 0.0408928
8, 1024, 1024, 0.0708064
8, 2048, 8, 0.0268288
8, 2048, 16, 0.0266512
8, 2048, 32, 0.0262912
8, 2048, 64, 0.0289856
8, 2048, 128, 0.0340288
8, 2048, 256, 0.0465408
8, 2048, 512, 0.0715008
8, 2048, 1024, 0.130643
8, 4096, 8, 0.0388928
8, 4096, 16, 0.0384128
8, 4096, 32, 0.0380992
8, 4096, 64, 0.0433552
8, 4096, 128, 0.0541424
8, 4096, 256, 0.0787776
8, 4096, 512, 0.12887
8, 4096, 1024, 0.243866
8, 8192, 8, 0.0561792
8, 8192, 16, 0.06336
8, 8192, 32, 0.0634304
8, 8192, 64, 0.0683392
8, 8192, 128, 0.090648
8, 8192, 256, 0.139757
8, 8192, 512, 0.236224
8, 8192, 1024, 0.47687
8, 16384, 8, 0.109664
8, 16384, 16, 0.0892848
8, 16384, 32, 0.0892144
8, 16384, 64, 0.136754
8, 16384, 128, 0.15653
8, 16384, 256, 0.264677
8, 16384, 512, 0.475296
8, 16384, 1024, 0.948928
8, 32768, 8, 0.163307
8, 32768, 16, 0.204779
8, 32768, 32, 0.184907
8, 32768, 64, 0.251467
8, 32768, 128, 0.300312
8, 32768, 256, 0.536291
8, 32768, 512, 0.913246
8, 32768, 1024, 1.8677
